"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error	% of Total Deaths
	"Boone County, MO"	"29019"	65	1123908	5.8	4.5	7.4	0.7	5.7	4.4	7.4	0.7	0.0%
	"Buchanan County, MO"	"29021"	29	620406	4.7	3.1	6.7	0.9	4.7	3.2	6.8	0.9	0.0%
	"Butler County, MO"	"29023"	23	298318	7.7	4.9	11.6	1.6	7.6	4.8	11.5	1.6	0.0%
	"Caldwell County, MO"	"29025"	Suppressed	65346	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Callaway County, MO"	"29027"	24	307485	7.8	5.0	11.6	1.6	7.7	5.0	11.5	1.6	0.0%
	"Camden County, MO"	"29029"	32	303326	10.5	7.2	14.9	1.9	13.3	9.0	19.0	2.4	0.0%
	"Cape Girardeau County, MO"	"29031"	18	524775	Unreliable	2.0	5.4	0.8	Unreliable	2.2	6.0	0.9	0.0%
	"Carroll County, MO"	"29033"	Suppressed	65771	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Carter County, MO"	"29035"	Suppressed	43299	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Cass County, MO"	"29037"	46	688175	6.7	4.9	8.9	1.0	6.9	5.0	9.2	1.0	0.0%
	"Cedar County, MO"	"29039"	Suppressed	98211	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Chariton County, MO"	"29041"	Suppressed	54723	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Christian County, MO"	"29043"	39	528769	7.4	5.2	10.1	1.2	7.8	5.5	10.6	1.2	0.0%
	"Clark County, MO"	"29045"	Suppressed	49824	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Clay County, MO"	"29047"	91	1527036	6.0	4.8	7.3	0.6	5.8	4.7	7.2	0.6	0.1%
	"Clinton County, MO"	"29049"	Suppressed	144707	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Cole County, MO"	"29051"	24	526455	4.6	2.9	6.8	0.9	4.5	2.9	6.7	0.9	0.0%
	"Cooper County, MO"	"29053"	Suppressed	123090	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Crawford County, MO"	"29055"	20	172890	11.6	7.1	17.9	2.6	12.6	7.6	19.7	2.9	0.0%
	"Dade County, MO"	"29057"	Suppressed	55037	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Dallas County, MO"	"29059"	Suppressed	117629	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Daviess County, MO"	"29061"	Suppressed	58337	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"DeKalb County, MO"	"29063"	Suppressed	90060	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Dent County, MO"	"29065"	20	108782	18.4	11.2	28.4	4.1	22.9	13.8	35.7	5.2	0.0%
	"Douglas County, MO"	"29067"	Suppressed	95620	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Dunklin County, MO"	"29069"	15	224531	Unreliable	3.7	11.0	1.7	Unreliable	4.1	12.0	1.9	0.0%
	"Franklin County, MO"	"29071"	109	707019	15.4	12.5	18.3	1.5	16.2	13.2	19.3	1.6	0.1%
	"Gasconade County, MO"	"29073"	Suppressed	106804	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Gentry County, MO"	"29075"	Suppressed	47381	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Greene County, MO"	"29077"	256	1908550	13.4	11.8	15.1	0.8	13.6	11.9	15.3	0.9	0.2%
	"Grundy County, MO"	"29079"	Suppressed	71624	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Harrison County, MO"	"29081"	Suppressed	62315	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Henry County, MO"	"29083"	Suppressed	156242	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Hickory County, MO"	"29085"	Suppressed	66911	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Holt County, MO"	"29087"	Suppressed	34191	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Howard County, MO"	"29089"	Suppressed	70995	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Howell County, MO"	"29091"	34	279979	12.1	8.4	17.0	2.1	14.2	9.8	19.9	2.5	0.0%
	"Iron County, MO"	"29093"	Suppressed	74433	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Jackson County, MO"	"29095"	345	4687619	7.4	6.6	8.1	0.4	7.3	6.5	8.1	0.4	0.2%
	"Jasper County, MO"	"29097"	15	808473	Unreliable	1.0	3.1	0.5	Unreliable	1.1	3.2	0.5	0.0%
	"Jefferson County, MO"	"29099"	254	1520648	16.7	14.6	18.8	1.0	16.8	14.7	18.9	1.1	0.2%
	"Johnson County, MO"	"29101"	Suppressed	367921	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Knox County, MO"	"29103"	Suppressed	28877	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Laclede County, MO"	"29105"	Suppressed	247767	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Lafayette County, MO"	"29107"	12	232824	Unreliable	2.7	9.0	1.5	Unreliable	2.9	9.8	1.6	0.0%
	"Lawrence County, MO"	"29109"	24	269023	8.9	5.7	13.3	1.8	10.0	6.4	14.9	2.1	0.0%
	"Lewis County, MO"	"29111"	Suppressed	71512	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Lincoln County, MO"	"29113"	31	362961	8.5	5.8	12.1	1.5	9.0	6.1	12.7	1.6	0.0%
	"Linn County, MO"	"29115"	Suppressed	89177	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Livingston County, MO"	"29117"	Suppressed	104914	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"McDonald County, MO"	"29119"	Suppressed	160928	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Macon County, MO"	"29121"	Suppressed	108846	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Madison County, MO"	"29123"	11	86018	Unreliable	6.4	22.9	3.9	Unreliable	7.0	25.2	4.3	0.0%
	"Maries County, MO"	"29125"	Suppressed	64190	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Marion County, MO"	"29127"	17	200346	Unreliable	4.9	13.6	2.1	Unreliable	5.3	14.6	2.2	0.0%
	"Mercer County, MO"	"29129"	Suppressed	26194	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Miller County, MO"	"29131"	12	173644	Unreliable	3.6	12.1	2.0	Unreliable	3.8	12.8	2.2	0.0%
	"Mississippi County, MO"	"29133"	Suppressed	99310	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Moniteau County, MO"	"29135"	Suppressed	108654	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Monroe County, MO"	"29137"	Suppressed	62883	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Montgomery County, MO"	"29139"	Suppressed	85495	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Morgan County, MO"	"29141"	10	143781	Unreliable	3.3	12.8	2.2	Unreliable	4.0	16.6	2.8	0.0%
	"New Madrid County, MO"	"29143"	Suppressed	131529	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Newton County, MO"	"29145"	13	405284	Unreliable	1.7	5.5	0.9	Unreliable	1.9	6.0	1.0	0.0%
	"Nodaway County, MO"	"29147"	Suppressed	162027	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Oregon County, MO"	"29149"	Suppressed	75670	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Osage County, MO"	"29151"	Suppressed	96625	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ozark County, MO"	"29153"	Suppressed	67632	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Pemiscot County, MO"	"29155"	23	129252	17.8	11.3	26.7	3.7	21.0	13.3	31.5	4.4	0.0%
	"Perry County, MO"	"29157"	Suppressed	132689	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Pettis County, MO"	"29159"	Suppressed	292346	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Phelps County, MO"	"29161"	33	312228	10.6	7.3	14.8	1.8	11.5	7.8	16.3	2.1	0.0%
	"Pike County, MO"	"29163"	Suppressed	130094	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Platte County, MO"	"29165"	38	617070	6.2	4.4	8.5	1.0	5.9	4.1	8.1	1.0	0.0%
	"Polk County, MO"	"29167"	11	215828	Unreliable	2.5	9.1	1.5	Unreliable	2.8	10.0	1.7	0.0%
	"Pulaski County, MO"	"29169"	52	351477	14.8	11.0	19.4	2.1	16.5	12.2	21.9	2.4	0.0%
	"Putnam County, MO"	"29171"	Suppressed	35118	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ralls County, MO"	"29173"	Suppressed	71191	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Randolph County, MO"	"29175"	Suppressed	178128	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ray County, MO"	"29177"	12	164647	Unreliable	3.8	12.7	2.1	Unreliable	3.6	12.1	2.0	0.0%
	"Reynolds County, MO"	"29179"	Suppressed	46749	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ripley County, MO"	"29181"	Suppressed	98459	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"St. Charles County, MO"	"29183"	245	2485730	9.9	8.6	11.1	0.6	9.8	8.6	11.1	0.6	0.2%
	"St. Clair County, MO"	"29185"	Suppressed	67881	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ste. Genevieve County, MO"	"29186"	20	126907	15.8	9.6	24.3	3.5	18.4	11.1	28.7	4.2	0.0%
	"St. Francois County, MO"	"29187"	56	452550	12.4	9.3	16.1	1.7	12.3	9.3	16.1	1.7	0.0%
	"St. Louis County, MO"	"29189"	692	6996472	9.9	9.2	10.6	0.4	10.4	9.6	11.2	0.4	0.5%
	"Saline County, MO"	"29195"	11	162214	Unreliable	3.4	12.1	2.0	Unreliable	3.8	13.5	2.3	0.0%
	"Schuyler County, MO"	"29197"	Suppressed	30559	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Scotland County, MO"	"29199"	Suppressed	33861	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Scott County, MO"	"29201"	Suppressed	275079	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Shannon County, MO"	"29203"	Suppressed	58772	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Shelby County, MO"	"29205"	Suppressed	44710	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Stoddard County, MO"	"29207"	11	210020	Unreliable	2.6	9.4	1.6	Unreliable	2.8	10.2	1.7	0.0%
	"Stone County, MO"	"29209"	10	223878	Unreliable	2.1	8.2	1.4	Unreliable	2.1	8.9	1.6	0.0%
	"Sullivan County, MO"	"29211"	Suppressed	46833	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Taney County, MO"	"29213"	17	352092	Unreliable	2.8	7.7	1.2	Unreliable	2.9	8.3	1.3	0.0%
	"Texas County, MO"	"29215"	Suppressed	180016	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Vernon County, MO"	"29217"	12	146293	Unreliable	4.2	14.3	2.4	Unreliable	4.9	16.5	2.8	0.0%
	"Warren County, MO"	"29219"	20	223403	9.0	5.5	13.8	2.0	10.2	6.3	15.8	2.3	0.0%
	"Washington County, MO"	"29221"	22	175065	12.6	7.9	19.0	2.7	13.2	8.3	20.1	2.8	0.0%
	"Wayne County, MO"	"29223"	Suppressed	94066	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Webster County, MO"	"29225"	13	251096	Unreliable	2.8	8.9	1.4	Unreliable	2.9	9.3	1.5	0.0%
	"Worth County, MO"	"29227"	Suppressed	15184	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Wright County, MO"	"29229"	Suppressed	130964	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"St. Louis city, MO"	"29510"	390	2230422	17.5	15.8	19.2	0.9	17.1	15.3	18.8	0.9	0.3%
	"Beaverhead County, MT"	"30001"	Suppressed	64196	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Big Horn County, MT"	"30003"	Suppressed	89419	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Blaine County, MT"	"30005"	Suppressed	45593	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Broadwater County, MT"	"30007"	Suppressed	37924	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Carbon County, MT"	"30009"	Suppressed	70120	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Carter County, MT"	"30011"	Suppressed	8284	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Cascade County, MT"	"30013"	31	566179	5.5	3.7	7.8	1.0	5.8	3.9	8.3	1.1	0.0%
	"Chouteau County, MT"	"30015"	Suppressed	40532	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Custer County, MT"	"30017"	Suppressed	81375	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Daniels County, MT"	"30019"	Suppressed	12186	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Dawson County, MT"	"30021"	Suppressed	62934	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Deer Lodge County, MT"	"30023"	10	64879	Unreliable	7.4	28.3	4.9	Unreliable	7.8	32.3	5.6	0.0%
	"Fallon County, MT"	"30025"	Suppressed	20049	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Fergus County, MT"	"30027"	Suppressed	80510	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Flathead County, MT"	"30029"	32	629036	5.1	3.5	7.2	0.9	5.2	3.5	7.5	0.9	0.0%
	"Gallatin County, MT"	"30031"	20	622227	3.2	2.0	5.0	0.7	3.2	1.9	5.0	0.7	0.0%
	"Garfield County, MT"	"30033"	Suppressed	8630	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Glacier County, MT"	"30035"	13	93538	Unreliable	7.4	23.8	3.9	Unreliable	7.5	25.4	4.1	0.0%
	"Golden Valley County, MT"	"30037"	Suppressed	6312	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Granite County, MT"	"30039"	Suppressed	21396	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Hill County, MT"	"30041"	13	112741	Unreliable	6.1	19.7	3.2	Unreliable	6.0	20.3	3.3	0.0%
	"Jefferson County, MT"	"30043"	Suppressed	78596	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Judith Basin County, MT"	"30045"	Suppressed	14476	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Lake County, MT"	"30047"	18	200380	Unreliable	5.3	14.2	2.1	Unreliable	5.8	16.6	2.5	0.0%
	"Lewis and Clark County, MT"	"30049"	32	437182	7.3	5.0	10.3	1.3	7.3	4.9	10.4	1.3	0.0%
	"Liberty County, MT"	"30051"	Suppressed	16093	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Lincoln County, MT"	"30053"	10	136610	Unreliable	3.5	13.5	2.3	Unreliable	3.1	12.9	2.3	0.0%
	"McCone County, MT"	"30055"	Suppressed	12103	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Madison County, MT"	"30057"	Suppressed	53335	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Meagher County, MT"	"30059"	Suppressed	13347	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Mineral County, MT"	"30061"	Suppressed	29342	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Missoula County, MT"	"30063"	73	757360	9.6	7.6	12.1	1.1	9.4	7.3	11.9	1.1	0.1%
	"Musselshell County, MT"	"30065"	Suppressed	31597	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Park County, MT"	"30067"	Suppressed	109824	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Petroleum County, MT"	"30069"	Suppressed	3430	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Phillips County, MT"	"30071"	Suppressed	29414	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Pondera County, MT"	"30073"	Suppressed	43142	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Powder River County, MT"	"30075"	Suppressed	12293	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Powell County, MT"	"30077"	Suppressed	49547	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Prairie County, MT"	"30079"	Suppressed	7938	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ravalli County, MT"	"30081"	21	281036	7.5	4.6	11.4	1.6	8.5	5.1	13.3	1.9	0.0%
	"Richland County, MT"	"30083"	Suppressed	68416	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Roosevelt County, MT"	"30085"	Suppressed	72793	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Rosebud County, MT"	"30087"	Suppressed	64423	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Sanders County, MT"	"30089"	Suppressed	79707	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Sheridan County, MT"	"30091"	Suppressed	24172	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Silver Bow County, MT"	"30093"	30	237736	12.6	8.5	18.0	2.3	13.5	9.1	19.4	2.5	0.0%
	"Stillwater County, MT"	"30095"	Suppressed	62991	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Sweet Grass County, MT"	"30097"	Suppressed	25840	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Teton County, MT"	"30099"	Suppressed	42663	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Toole County, MT"	"30101"	Suppressed	36161	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Treasure County, MT"	"30103"	Suppressed	5162	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Valley County, MT"	"30105"	Suppressed	51729	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Wheatland County, MT"	"30107"	Suppressed	14836	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Wibaux County, MT"	"30109"	Suppressed	7073	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Yellowstone County, MT"	"30111"	55	1021743	5.4	4.1	7.0	0.7	5.5	4.1	7.2	0.7	0.0%
	"Adams County, NE"	"31001"	Suppressed	218281	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Antelope County, NE"	"31003"	Suppressed	46895	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Arthur County, NE"	"31005"	Suppressed	3217	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Banner County, NE"	"31007"	Suppressed	4945	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Blaine County, NE"	"31009"	Suppressed	3354	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Boone County, NE"	"31011"	Suppressed	38601	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Box Butte County, NE"	"31013"	Suppressed	79584	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Boyd County, NE"	"31015"	Suppressed	14664	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Brown County, NE"	"31017"	Suppressed	22093	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Buffalo County, NE"	"31019"	Suppressed	321273	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Burt County, NE"	"31021"	Suppressed	48292	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Butler County, NE"	"31023"	Suppressed	58490	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Cass County, NE"	"31025"	Suppressed	176502	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Cedar County, NE"	"31027"	Suppressed	62022	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Chase County, NE"	"31029"	Suppressed	27705	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Cherry County, NE"	"31031"	Suppressed	40397	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Cheyenne County, NE"	"31033"	Suppressed	70308	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Clay County, NE"	"31035"	Suppressed	45667	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Colfax County, NE"	"31037"	Suppressed	72231	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Cuming County, NE"	"31039"	Suppressed	64465	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Custer County, NE"	"31041"	Suppressed	76677	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Dakota County, NE"	"31043"	Suppressed	145179	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Dawes County, NE"	"31045"	Suppressed	64103	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Dawson County, NE"	"31047"	Suppressed	169775	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Deuel County, NE"	"31049"	Suppressed	13775	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
